anchor,asset_tech,title,date,severity,field_count,scenario_n,baseline_risk,description,field_Email Address,field_Password (any form),field_IP Address,field_Username,field_Name (full/real),field_Date of Birth,field_Phone Number,field_Physical Address,field_Gender,field_Geographic Location,field_Private Messages,field_Purchase / Transaction,field_Partial Credit Card Data,field_Security Questions,field_2FA / Auth Token
1,Software / Web Application,Spoutible,2024-01-31,4,8,151,0.529825,"In January 2024, Spoutible had 207k records scraped from a misconfigured API that inadvertently returned excessive personal information. The data included names, usernames, email and IP addresses, phone numbers (where provided to the platform), genders and bcrypt password hashes. The incident also exposed 2FA secrets and backup codes along with password reset tokens.",1,1,1,1,1,0,1,0,1,0,0,0,0,0,1
2,Unknown,Hakko,2019-03-28,4,8,120,0.421053,"In March 2019, the Japanese solder-related business Hakko Corporation suffered a data breach. The incident exposed almost 10k customer records including email and physical addresses, phone numbers, names, usernames, genders, dates of birth and plain text passwords.",1,1,0,1,1,1,1,1,1,0,0,0,0,0,0
3,Services provided by supplier,AmartFurniture,2022-05-16,4,5,9,0.031579,"In May 2022, the Australian retailer Amart Furniture advised that their warranty claims database hosted on Amazon Web Services had been the target of a cyber attack. Over 100k records containing email and physical address, names, phone numbers and passwords stored as bcrypt hashes were exposed and shared online by the attacker.",1,1,0,0,1,0,1,1,0,0,0,0,0,0,0
